route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
396,0000000032022091220230609,0003801812022091220230609,Verona "Palazzo Stella",0,D534_T0307_Andata_sub2,1
396,0000000022022091220230609,0003801822022091220230609,Conci "Villazzano 3",0,D530_T0303_Andata_sub2,1
396,0000000022022091220230609,0003801832022091220230609,Conci "Villazzano 3",0,D530_T0303_Andata_sub2,1
396,0000000022022091220230609,0003801842022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801852022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801862022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801872022091220230609,Conci "Villazzano 3",0,D530_T0303_Andata_sub2,1
396,0000000022022091220230609,0003801882022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801892022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801902022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801912022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801922022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801932022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801942022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801952022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801962022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801972022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801982022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003801992022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802002022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
