stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
2784,22575x,Spini Varsavia,,46.125528,11.098368,10110,2
2785,22575z,Spini Varsavia,,46.125825,11.098119,10110,2
2786,22570z,Spini Masadori,,46.119932,11.096486,10110,1
2787,22570x,Spini Masadori,,46.120106,11.096254,10110,1
2788,22560x,Spini Bregenz,,46.117063,11.092401,10110,2
2789,22560z,Spini Bregenz,,46.117025,11.092475,10110,2
2790,22565c,Spini "Casa Circondariale",,46.127053,11.096713,10110,1
2791,22905z,Interporto "Interbrennero",,46.111248,11.090882,10110,1
2792,22905x,Interporto "Interbrennero",,46.111195,11.090792,10110,1
2793,22915x,Innsbruck "Trentino Trasporti",via Innsbruck 65,46.101861,11.094798,10110,1
2794,22915z,Innsbruck "Trentino Trasporti",via Innsbruck 65,46.102289,11.094582,10110,1
2795,22910z,Interporto "Logistica 2",,46.106315,11.092329,10110,1
2796,22910x,Interporto "Logistica 2",,46.106112,11.092271,10110,1
2797,22920x,Interporto "Fercam",,46.108338,11.091621,10110,1
2798,22920z,Interporto "Fercam",,46.108429,11.091700,10110,1
2799,22607z,Spini Praga,,46.123565,11.097434,10110,2
2800,38571x,Pedersano,,45.922564,11.020235,18511,
2801,28320z,Vela "Scuole S.Vigilio",,46.081292,11.102655,10110,1
2802,38091x,Villa Lagar. "Bocciodromo",,45.920749,11.032002,18041,2
2803,38091z,Villa Lagar. "Bocciodromo",,45.920286,11.031886,18041,1
2804,38081z,Villa Lagarina "Al Ponte",,45.913238,11.037376,18041,2
2805,38081x,Villa Lagarina "Al Ponte",,45.913174,11.037347,18041,2
2806,32236x,Ss.240 "Alla Staffa",,45.872760,11.024322,10101,2
2812,38526x,Castellano Don Zanolli,,45.926062,11.005712,18511,2
2814,26012z,Mattarello Gotarda,,46.009942,11.128455,10110,2
2815,26027z,Mattarello Fratte,,46.005441,11.126379,10110,2
2816,31716z,Via Zandonai,,45.886680,11.020120,10101,
2817,22500c,Roncafort Nord,,46.103456,11.100245,10110,1
2820,25025x,Povo Pantè,,46.063948,11.150557,10110,2
2822,34061E,Mori Via Filzi,,45.854392,10.972141,14051,2
2823,34051E,Mori Via Don Sturzo,,45.853340,10.970029,14051,2
2824,34141x,Mori Via Terra Nera,,45.850031,10.981008,14051,2
2825,31581x,Via All'adige,,45.888336,11.018626,10101,
2827,32706z,Via Monte Pipel,,45.895097,11.057072,10101,
2828,22925x,Interporto "Sait",,46.113255,11.090192,10110,1
2829,22925z,Interporto "Sait",,46.113317,11.090281,10110,1
2831,31246z,Via Balista Ist. Veronesi,,45.896065,11.030962,10101,2
2832,31811x,Viale Vittoria Scuole Degasperi,,45.884804,11.023959,10101,1
2833,25055x,Povo "Polo Scientifico" Ovest,,46.067349,11.150368,10110,1
2835,16501,Calliano Via Marcolini,,45.931773,11.092112,16501,2
2836,36501z,Calliano Via Marcolini,,45.931765,11.092773,16501,2
2837,39051z,Volano Via Delle Ancone,,45.917819,11.076404,19011,2
2838,39061z,Ss.12 Fornaci,,45.919444,11.085325,19011,2
2839,39011z,Volano Via Roma,,45.917298,11.070048,19011,1
2840,36001n,Nomi Cantina Sociale,,45.928339,11.074608,16011,2
2841,35116z,Nogaredo Via Verdi,,45.911618,11.024558,15091,2
2843,35161x,Sp.20 Bivio Noarna,,45.915826,11.016557,15091,2
2844,35161z,Sp.20 Bivio Noarna,,45.915880,11.016801,15091,2
2845,31226c,Via 13 Settembre,,45.908302,11.041662,10121,
2848,32801c,Campana Dei Caduti,,45.874381,11.040909,10101,
2849,32091x,Marco Parco Ex De Bellat,,45.843722,11.007150,10101,2
2850,32091z,Marco Parco Ex De Bellat,,45.843535,11.007469,10101,2
2851,32081x,Marco Via S.Romedio,,45.845955,11.004524,10101,2
2852,32081z,Marco Via S.Romedio,,45.847437,11.003377,10101,2
2853,32216x,Mori Stazione,,45.860603,11.001712,10101,2
2854,32216z,Mori Stazione,,45.860969,11.001672,10101,2
2855,31651n,Via Salvetti,,45.905949,11.042875,10101,
2856,36511z,Ss.12 Castel Pietra,,45.921722,11.091307,16501,2
2857,36511x,Ss.12 Castel Pietra,,45.922938,11.092223,16501,2
2858,36521x,Ss.12 Campagnole,,45.928854,11.093009,16501,2
2859,36521z,Ss.12 Campagnole,,45.928852,11.093151,16501,2
2861,37501z,Porte di Trambileno,,45.883348,11.051598,10101,2
2862,37501x,Porte di Trambileno,,45.883530,11.052027,10101,2
2863,32811z,Viale Schio,,45.883599,11.043712,10101,
2864,32811x,Viale Schio,,45.883690,11.043650,10101,
2865,32821z,Viale Zugna 13,,45.884470,11.046999,10101,
